variable,label,decision,registered,missing,section
AGRESOR_DISCAPACIDAD_PSICOSOCIAL,Tipo de discapacidad que presenta la presunta persona agresora: Psicosocial,Indicador agregado,119,120049,agresor
AGRESOR_DISCAPACIDAD_INTELECTUAL,Tipo de discapacidad que presenta la presunta persona agresora: Intelectual,Indicador agregado,161,120007,agresor
AGRESOR_OTRO_DISCAPACIDAD,Tipo de discapacidad que presenta la presunta persona agresora: Otro tipo de discapacidad,Indicador agregado,107,120061,agresor
AGRESOR_ESP_OTRO_DISCAPACIDAD,Tipo de discapacidad que presenta la presunta persona agresora: Especificar otro tipo de discapacidad,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DERIVA_SGT_SERVICIO_SECCION_B,Derivación del caso al/ a la siguiente profesional (para el registro en la Sección B),Indicador agregado,120168,0,atencion
NOMBRE_REGISTRA_SECCION_A,Nombres y apellidos del/a profesional que llena la Sección A de la Ficha de Registro de Casos del CEM,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
MOTIVO_CONSULTA,Motivo de consulta (relato del último hecho de violencia),"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DEPENDE_VICTIMA_FEMINICIDIO,¿La persona usuaria ha dependido de una víctima de feminicidio?,Indicador agregado,120168,0,violencia
CUENTA_FICHA_FEMINICIDIO,¿La víctima de feminicidio cuenta con una,Indicador agregado,32,120136,violencia
NOMBRE_CEM_FICHA_FEMINICIDIO,Nombre del CEM donde se encuentra registrada la víctima de feminicidio,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_FICHA_FEMINICIDIO_CEM,Número de ficha de feminicidio con la que cuenta en el CEM,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANO_FICHA_FEMINICIDIO_CEM,Año de la ficha de feminicidio con la que cuenta en el CEM,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
BRINDA_INFORMACION_OS_IG,¿La persona usuaria está de acuerdo en brindar información sobre su orientación sexual e identidad de género?,Indicador agregado,120158,10,poblaciones
ORIENTACION_SEXUAL,La persona usuaria por su orientación sexual se siente o considera,Indicador agregado,13491,106677,poblaciones
ESP_OTRO_ORIENTACION_SEXUAL,Especificar otro tipo de orientación sexual,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
IDENTIDAD_GENERO,La persona usuaria por su identidad de género se siente o considera,Indicador agregado,10787,109381,poblaciones
ESP_OTRO_IDENTIDAD_GENERO,Especificar otro tipo de identidad de género,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
